425	Redier, 1965b	Hydraires et Bryozoaires du Golfe de Guinee		
426	Smitt, 1872	Floridan Bryozoa Part I		
427	Waters, 1881	Fossil chilostomatous ...south-west Victoria		
428	Waters, 1882a	Fossil chilostomatous...Mount Gambier		
429	Waters, 1882b	Fossil chilostomatous... Bairnsdale		
430	Waters, 1883	Fossil chilostomatous... Muddy Creek		
431	Waters, 1884	Fossil cyclostomous bryozoa		
432	Waters, 1885	Chilostomatous ...Aldinga and the River Murray Cli		
433	Waters, 1887d	On Tertiary cyclostomatous Bryozoa from New Zealand		
434	Waters, 1887e	On Tertiary chilostomatous Bryozoa from New Zealand		
435	Norman, 1909	Polyzoa of Madeira and neigbouring islands		
436	Waters, 1918b	Some Mediterranean Bryozoa		
437	Vigneaux, 1949	Revision des Bryozoaires Neogenes...		
438	Cheetham, 1972	Cheilostome Bryozoa ... from Eua, Tonga		
439	David, Mongereau & Pouyet, 1970	Bryozoaires du Néogène du Bassin du Rhône... (Drôme)		
440	Chaney, Soule & Soule, 1989	Systematics..Thalamoporella gothica and its allied		
441	Taylor & Foster, 1994	Bryozoa from the Plio-Pleistocene of Tobago		
442	Taylor, 1980	Two new Jurassic Bryozoa from southern England		
443	Hakansson & Voigt, 1996	New free-living bryozoans from the northwest Europ		
444	Zagorsek, 1992	Priabonian (Late Eocene) Cyclostomata		
445	Ziko, 1996	Middle Miocene Bryozoa of west-central Sinai, Egypt		
446	Ziko & el-Sorogy, 1995	New bryozoan records...Red Sea Coast, Egypt		
447	Gontar, 1993	New deepwater.. from the Kuril Islands		
448	Favorskaya, Gordon & Voigt, 1996	New Bryozoa ... from the Paleocene of Uzbekistan		
449	Buge & Galopim de Carvalho, 1963	Revision du genre Metrarabdodotos...		
450	Galopim de Carvalho, 1963	Les cellaria ...du Tertiare du Portugal		
451	Galopim de Carvalho, 1971	Briozoarios do Terciario Portugues		
452	Arakawa, 1995	Bryozoan fauna in the Jizodo Formation...Japan		
453	Taylor, 1994	An early cheilostome...Upper Jurassic of Yemen		
454	Taylor, 1995	Late Campanian-Maastrichtian... United Arab Emirat		
455	Taylor, 1980b	Stomatopora voigtiana...		
456	McColloch, Gilmour & Snyder, 1994	The Order Fenestrata...southern Nevada		
457	Gordon & d'Hondt, 1985	Talivittaticella, a new genus of Catenicellidae		
458	Hageman, 1991	Worthenopora, an unusual cryptostome...		
459	Voigt & Gordon, 1995	Ascancestor and Confusocella...		
460	Buge & Galopim de Carvalho, 1964	Nouvelles observations sur le genre Metrarabdotos		
461	Zabala & Maluquer, 1988	Illustrated keys ...Mediterranean Bryozoa		
462	Yang, 1956	The Middle Devonian Bryozoa ...Mishan County		
463	Buge, 1957	Les bryozoaires du Neogene de l'Ouest de France.		
464	Hastings, 1943	Discovery Reports		
465	Hastings, 1930	Cheilostomatous Polyzoa... Panama Canal..Crossland		
466	Hastings, 1947	Notes on Polyzoa III...Cellaria (1947 stamped on)		
467	Hastings, 1979	The genus Hippothoa		
468	Hastings, 1941	The British species of Scruparia		
469	Waters, 1905	Bryozoa from near Cape Horn		
470	Waters, 1921	Observations...Selenariadae, Conescharellinidae		
471	Reguant, 1997	Oligocene Cheilostomatida from San Vicente de la Barquera		
