SpeciesID	Current_Name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	first_name	html_page	OK	Status	FAMILIES::NAME
14046	Petraliella concinna	(Hincks, 1891)	228	1	\N	\N	2010-05-23	Petraliella	bryozoa.net/cheilostomata/petraliellidae/petraliella_concinna.html	1	\N	PETRALIELLIDAE
9067	Petraliella buski	Stach, 1936	228	1	ZR1936	\N	2010-05-23	Petraliella	bryozoa.net/cheilostomata/petraliellidae/petraliella_buski.html	1	\N	PETRALIELLIDAE
1575	Mucropetraliella serrata	(Livingstone, 1926)	228	1	\N	\N	2010-05-23	Mucropetraliella	bryozoa.net/cheilostomata/petraliellidae/mucropetraliella_serrata.html	1	\N	PETRALIELLIDAE
1568	Mucropetraliella philippinensis	(Canu & Bassler, 1929)	228	1	ZR1929	\N	2010-05-23	Mucropetraliella	bryozoa.net/cheilostomata/petraliellidae/mucropetraliella_philippinensis.html	1	\N	PETRALIELLIDAE
16659	Mucropetraliella capricornensis	Tilbrook, Hayward & Gordon, 2001	228	1	ZR2001-093	\N	2010-05-23	Mucropetraliella	bryozoa.net/cheilostomata/petraliellidae/mucropetraliella_capricornensis.html	1	\N	PETRALIELLIDAE
20009	Mucropetraliella bifidata	Tilbrook, 2006	228	1	\N	\N	2010-05-23	Mucropetraliella	bryozoa.net/cheilostomata/petraliellidae/mucropetraliella_bifidata.html	1	\N	PETRALIELLIDAE
9075	Mucropetraliella bennetti	(Livingstone, 1926)	228	1	\N	\N	2010-05-23	Mucropetraliella	bryozoa.net/cheilostomata/petraliellidae/mucropetraliella_bennetti.html	1	\N	PETRALIELLIDAE
13745	Smittipora philippinensis	Canu & Bassler, 1929	156	1	ZR1929	\N	2010-05-23	Smittipora	bryozoa.net/cheilostomata/onychocellidae/smittipora_philippinensis.html	1	\N	ONYCHOCELLIDAE
1812	Smittipora harmeriana	(Canu & Bassler, 1929)	156	1	ZR1930	\N	2010-05-23	Smittipora	bryozoa.net/cheilostomata/onychocellidae/smittipora_harmeriana.html	1	\N	ONYCHOCELLIDAE
189	Smittipora cordiformis	Harmer, 1926	156	1	ZR1926	\N	2010-05-23	Smittipora	bryozoa.net/cheilostomata/onychocellidae/smittipora_cordiformis.html	1	\N	ONYCHOCELLIDAE
14510	Monoporella fimbriata	Canu & Bassler, 1927	169	1	\N	\N	2010-05-23	Monoporella	bryozoa.net/cheilostomata/monoporellidae/monoporella_fimbriata.html	1	\N	MONOPORELLIDAE
115	Micropora angusta	MacGillivray, 1887	158	1	\N	\N	2010-05-23	Micropora	bryozoa.net/cheilostomata/microporidae/micrang.html	1	\N	MICROPORIDAE
20012	Microporella pectinata	Tilbrook, 2006	232	1	\N	\N	2010-05-23	Microporella	bryozoa.net/cheilostomata/microporellidae/microporella_pectinata.html	1	\N	MICROPORELLIDAE
162	Microporella orientalis	Harmer, 1957	232	1	ZR1958	\N	2010-05-23	Microporella	bryozoa.net/cheilostomata/microporellidae/microporella_orientalis.html	1	\N	MICROPORELLIDAE
20010	Microporella micropora	Tilbrook, 2006	232	1	\N	\N	2010-05-23	Microporella	bryozoa.net/cheilostomata/microporellidae/microporella_micropora.html	1	\N	MICROPORELLIDAE
163	Microporella fimbriata	Ryland & Hayward, 1992	232	1	ZR1992/93-085	\N	2010-05-23	Microporella	bryozoa.net/cheilostomata/microporellidae/microporella_fimbriata.html	1	\N	MICROPORELLIDAE
20013	Microporella epihalimeda	Tilbrook, 2006	232	1	\N	\N	2010-05-23	Microporella	bryozoa.net/cheilostomata/microporellidae/microporella_epihalimeda.html	1	\N	MICROPORELLIDAE
20011	Microporella dentilingua	Tilbrook, 2006	232	1	\N	\N	2010-05-23	Microporella	bryozoa.net/cheilostomata/microporellidae/microporella_dentilingua.html	1	\N	MICROPORELLIDAE
210	Microporella lunifera	(Haswell, 1881)	232	1	\N	\N	2010-05-23	Microporella	bryozoa.net/cheilostomata/microporellidae/micrlun.html	1	\N	MICROPORELLIDAE
