SpeciesID	Current_name	Author	FAMCODE	Recent	Remarks	Date_created	Date_modified	html_page	first_name	OK	Status
5033	 was Farciminellum antarcticum	Hastings, 1943	186	1	ZR1943		23/05/2010		was	0	
2569	 was Farciminellum hexagona	(Busk, 1884)	186	1			23/05/2010		was	0	
18287	 was Favositella interpuncta brevipora=5434	Oakley, 1966	608	0	ZR1966 Snell 2004		23/05/2010		was	0	
18288	 was Favositella interpuncta irregularis=5434	Oakley, 1966	608	0	ZR1966 Snell 2004		23/05/2010		was	0	
9127	 was Fenestella aequalis&=18437	Koenig, 1958	501	0	ZR1958 =capitanensis		23/05/2010		was	0	
10675	 was Fenestella ampla	Schulga-Nesterenko, 1951	501	0	ZR1956, now Exfenestella 10675		23/05/2010		was	0	
5796	 was Fenestella amplia	(Crockford, 1944)	501	0			23/05/2010		was	0	
5413	 was Fenestella anodosa	Campbell, 1961	501	0	now Australofenestella stroudensis		23/05/2010		was	0	
10656	 was Fenestella asiatica	Schulga-Nesterenko, 1951	501	0	ZR1956, see Elias & Condra 1956		28/05/2010		was	0	
10638	 was Fenestella benskiensis	Schulga-Nesterenko, 1951	501	0	ZR1956, now Laxifenestella		23/05/2010		was	0	
10309	 was Fenestella binodata leonardensis=6367	Elias & Condra, 1957	501	0	ZR1958 =binodata		23/05/2010		was	0	
10308	 was Fenestella binodata wolfcampensis=6367	Elias & Condra, 1957	501	0	ZR1958 =binodata		23/05/2010		was	0	
