rank_name	unit_name1	unit_name2	unit_name3	parent_name	usage
Family	Family Pseudolepraliidae			Superfamily Pseudolepralioidea	valid
Family	Family Quadricellariidae			Superfamily Calloporoidea	valid
Family	Family Rhabdozoidae			Superfamily Buguloidea	valid
Family	Family Romancheinidae			Superfamily Lepralielloidea	valid
Family	Family Savignyellidae			Superfamily Catenicelloidea	valid
Family	Family Schizoporellidae			Superfamily Schizoporelloidea	valid
Family	Family Sclerodomidae			Superfamily Lepralielloidea	valid
Family	Family Scorioporidae			Superfamily Scorioporoidea	valid
Family	Family Scrupariidae			Superfamily Scruparioidea	valid
Family	Family Selenariidae			Superfamily Microporoidea	valid
Family	Family Setosellidae			Superfamily Microporoidea	valid
Family	Family Siphonicytaridae			Superfamily Siphonicytaroidea	valid
Family	Family Skyloniidae			Suborder Neocheilostomina	valid
Family	Family Smittinidae			Superfamily Smittinoidea	valid
Family	Family Steginoporellidae			Superfamily Microporoidea	valid
Family	Family Stomachetosellidae			Superfamily Schizoporelloidea	valid
Family	Family Tendridae			Superfamily Calloporoidea	valid
Family	Family Tessaradomidae			Superfamily Lepralielloidea	valid
Family	Family Tetraplariidae			Superfamily Schizoporelloidea	valid
Family	Family Teuchoporidae			Superfamily Schizoporelloidea	valid
Family	Family Thalamoporellidae			Superfamily Microporoidea	valid
Family	Family Torquatellidae			Superfamily Celleporoidea	valid
Family	Family Trypostegidae			Superfamily Hippothooidea	valid
Family	Family Umbonulidae			Superfamily Lepralielloidea	valid
Family	Family Urceoliporidae			Superfamily Urceoliporoidea	valid
Family	Family Vicidae			Superfamily Schizoporelloidea	valid
Family	Family Vinculariidae			Superfamily Calloporoidea	valid
Family	Family Watersiporidae			Superfamily Smittinoidea	valid
Family	Family Wawaliidae			Superfamily Membraniporoidea	valid
Family	Family Euthyrisellidae			Superfamily Euthyriselloidea	valid
Genus	Genus Aethozoon			Family Aethozoontidae	valid
Genus	Genus Aeverrillia			Family Aeverrilliidae	valid
Genus	Genus Alcyonidioides			Family Alcyonidiidae	valid
Genus	Genus Alcyonidium			Family Alcyonidiidae	valid
Genus	Genus Allonema			Family Vinellidae	valid
Genus	Genus Amathia			Family Vesiculariidae	valid
Genus	Genus Anguinella			Family Nolellidae	valid
Genus	Genus Arachnidium			Family Arachnidiidae	valid
Genus	Genus Arachnoidea			Family Arachnidiidae	valid
Genus	Genus Arachnoidella			Family Arachnidiidae	valid
Genus	Genus Ascodictyon			Family Ascodictyidae	valid
Genus	Genus Ascorhiza			Family Clavoporidae	valid
Genus	Genus Avenella			Family Vesiculariidae	valid
Genus	Genus Bantariella			Family Mimosellidae	valid
Genus	Genus Bascomella			Family Ascodictyidae	valid
Genus	Genus Bathyalozoon			Family Bathyalozoontidae	valid
Genus	Genus Benedenipora			Family Benedeniporidae	valid
Genus	Genus Bockiella			Family Flustrellidridae	valid
Genus	Genus Bowerbankia			Family Vesiculariidae	valid
Genus	Genus Bulbella			Family Victorellidae	valid
Genus	Genus Buskia			Family Buskiidae	valid
Genus	Genus Cardoarachnidium			Family Arachnidiidae	valid
Genus	Genus Casteropora			Order Ctenostomata	valid
Genus	Genus Clavopora			Family Clavoporidae	valid
Genus	Genus Condranema			Family Vinellidae	valid
Genus	Genus Cookobryozoon			Family Cookobryozoonidae	valid
Genus	Genus Crassicaula			Family Vesiculariidae	valid
Genus	Genus Cryptoarachnidium			Family Arachnidiidae	valid
Genus	Genus Cryptopolyzoon			Family Buskiidae	valid
Genus	Genus Echinella			Family Hislopiidae	valid
Genus	Genus Eliasopora			Family Ascodictyidae	valid
Genus	Genus Ellipsopora			Family Ascodictyidae	valid
Genus	Genus Elzerina			Family Flustrellidridae	valid
Genus	Genus Farrella			Family Farrellidae	valid
Genus	Genus Fischerella			Order Ctenostomata	valid
Genus	Genus Flustrellidra			Family Flustrellidridae	valid
Genus	Genus Flustrellidrella			Family Flustrellidridae	valid
Genus	Genus Foraripora			Order Ctenostomata	valid
Genus	Genus Franzenella			Family Arachnidiidae	valid
Genus	Genus Haimeina			Order Ctenostomata	valid
Genus	Genus Harmeriella			Family Harmeriellidae	valid
Genus	Genus Haywardozoon			Family Haywardozoontidae	valid
Genus	Genus Hislopia			Family Hislopiidae	valid
Genus	Genus Huxleya			Order Ctenostomata	valid
Genus	Genus Hypophorella			Family Hypophorellidae	valid
Genus	Genus Immergentia			Family Immergentiidae	valid
Genus	Genus Iramena			Order Ctenostomata	valid
Genus	Genus Labiostomella			Family Labiostomellidae	valid
Genus	Genus Lobiancopora			Family Alcyonidiidae	valid
Genus	Genus Marcusopora			Order Ctenostomata	valid
Genus	Genus Metalcyonidium			Family Clavoporidae	valid
Genus	Genus Mimosella			Family Mimosellidae	valid
Genus	Genus Monastesia			Family Walkeriidae	valid
Genus	Genus Monobryozoon			Family Monobryozoontidae	valid
Genus	Genus Neobockiella			Family Flustrellidridae	valid
Genus	Genus Neoflustrellidra			Family Flustrellidridae	valid
Genus	Genus Nolella			Family Nolellidae	valid
Genus	Genus Norodoniana			Family Hislopiidae	valid
Genus	Genus Orbignyopora			Family Orbignyoporidae	valid
Genus	Genus Pachyzoon			Family Pachyzoontidae	valid
Genus	Genus Paludicella			Family Paludicellidae	valid
Genus	Genus Panolicella			Order Ctenostomata	valid
Genus	Genus Parachnoidea			Family Arachnidiidae	valid
Genus	Genus Paralcyonidium			Family Alcyonidiidae	valid
