unknown-id1	unknown-id2	name	rank	unknown-id	authority-date	authority-name	date	comment
141395	30207	indistincta	113		1929	Bock	12/3/2004	Etiam Cribrilina fide Jelly (1889);   Recent, Pacific (Philippines);
133169	21159	indivisa	113		1916	Bock	7/3/2004	Recent, IndoPacific (Philippines, Straits of Malacca);
133777	20379	indivisa	113		1852	Bock	7/3/2004	Nomen dubium fide Hincks (1878);   Recent, IndoPacific;
136361	21161	indivisa	113		1916	Bock	7/3/2004	Vide Steganoporella smitti indica;
136908	21189	indivisa	113		1916	Bock	7/3/2004	Vide Thalamoporella gothica indica;
138876	10090	indivisa	113		1758	Bock	7/3/2004	?Subjective junior synonym Pustulopora proboscidea fide Harmer (1915);   Nunc Pustulopora fide Busk (1875);   Recent, Pacific (Strait of Malacca);
133778	20379	indivisa cyathiformis	113		1860	Bock	7/3/2004	Vide Entalophora indica;
139909	20973	indivisum	113		1934	Bock	7/3/2004	Recent, southwest Indian Ocean;
134244	20446	inerma	113		1909	Bock	7/3/2004	Recent, Pacific (Indonesia);
137127	20720	inerma	113		1907	Bock	7/3/2004	Etiam Annectocyma fide Hayward & Ryland (1985);   Etiam Harmelinopora fide Brood (1976);   Cenozoic, Miocene, Messinian (Algeria, Morocco) fide Moissette (1988), El Hajjaji (1992);   Recent, Pacific (Philippines; western Mediterranean);
139026	21329	inerma	113		1906	Bock	7/3/2004	Recent, Pacific (Sea of Japan);
139227	20880	inerma	113		1906	Bock	7/3/2004	Vide Diaperoecia indistincta;
125511	20665	inermis	113		1882	Bock	7/3/2004	Subjective junior synonym Mucronella ventricosa connectans fide;   Nunc Perigastrella fide Canu & Bassler (1929);   Etiam Escharella fide Kluge (1962);   Etiam Mucronella fide Osburn (1919);   Recent,;
129760	20068	inermis	113		1914	Bock	7/3/2004	Vide Carbasea indivisa;
129989	20081	inermis	113		1852	Bock	7/3/2004	Vide Escharella indivisa;
130561	20135	inermis	113		2000	Bock	11/3/2004	Vide Escharella indivisa;
130880	20161	inermis	113		1926	Bock	7/3/2004	Vide Tubularia indivisa;
131817	20184	inermis	113		1880	Bock	7/3/2004	Vide Carbasea indivisa cyathiformis;
131916	21109	inermis	113		1898	Bock	7/3/2004	Recent, Pacific (Indonesia);
132623	21051	inermis	113		1852	Bock	7/3/2004	Vide Porella clivosa inerma;
132845	20328	inermis	113		0	Bock	11/3/2004	Vide Smittia inerma;
133779	20379	inermis	113		1852	Bock	7/3/2004	Nunc Porella fide Winston (1991);   Etiam Smittina fide Gautier (1961);   Recent, Mediterranean (Corsica);
134120	21367	inermis	113		1880	Bock	7/3/2004	Vide Smittia inerma;
